Address,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
"Dự án Khu đô thị Phương Đông, Xã Đông Xá, Vân Đồn, Quảng Ninh",300.00,15.00,32.00,Đông,Nam,3,6,3,Have certificate,Full,9.40
"Đường Quang Trung, Phường 12, Gò Vấp, Hồ Chí Minh",46.00,4.60,6.00,Đông - Nam,Đông - Nam,4,4,5,Have certificate,Full,7.99
"Đường Ngô Tất Tố, Phường 22, Bình Thạnh, Hồ Chí Minh",60.00,3.50,5.00,Đông - Nam,Đông,2,6,5,Have certificate,Full,5.60
"Dự án Vườn Vua Resort & Villas, Đường 316, Xã Đồng Trung, Thanh Thủy, Phú Thọ",369.00,15.00,12.00,Đông - Nam,Đông - Nam,2,4,4,Have certificate,Full,6.30
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",78.00,6.00,13.00,Đông - Nam,Đông - Nam,4,6,6,Have certificate,Basic,8.63
"Đường Phú Mỹ, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",54.00,5.80,3.00,Tây - Bắc,Tây - Bắc,4,6,6,Have certificate,Full,8.80
"Đường Nguyễn Trung Trực, Phường 5, Bình Thạnh, Hồ Chí Minh",69.10,4.00,4.50,Đông - Bắc,Đông - Bắc,3,3,4,Have certificate,Full,10.00
"Đường Quang Tiến, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",36.00,7.00,3.00,Tây - Nam,Tây - Nam,5,3,4,Have certificate,Full,5.60
"Dự án Đông Tăng Long, Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",100.00,20.00,12.00,Bắc,Bắc,3,4,5,Have certificate,Basic,6.50
"Đường Lộc Hậu, Xã Mỹ Lộc, Cần Giuộc, Long An",151.00,4.00,6.00,Tây,Tây,2,4,3,Have certificate,Full,3.20
"Phố Yên Duyên, Phường Yên Sở, Hoàng Mai, Hà Nội",33.00,3.00,2.00,Tây - Bắc,Tây - Bắc,5,3,4,Have certificate,Full,4.48
"Đường Nguyễn Đình Chính, Phường 11, Phú Nhuận, Hồ Chí Minh",38.00,4.20,6.00,Đông - Bắc,Đông - Bắc,4,3,4,Have certificate,Full,6.78
"Dự án Centa Riverside, Đường Hữu Nghị, Phường Phù Chẩn, Từ Sơn, Bắc Ninh",180.00,9.00,40.00,Nam,Nam,3,5,4,Have certificate,Basic,9.70
"Phường Thạch Bàn, Long Biên, Hà Nội",33.00,4.50,2.50,Nam,Nam,5,3,4,Have certificate,Full,4.15
"Đường Trương Phước Phan, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",64.00,4.00,6.00,Tây,Tây,5,4,5,Have certificate,Basic,6.70
"Phố Cầu Cốc, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",53.00,4.30,22.00,Đông,Đông,5,6,5,Have certificate,Basic,6.39
